Mathri	ingredient	Ghee
Nasi kuning	ingredient	Turmeric
Litti (cuisine)	ingredient	Litti(cuisine)#Ingredients Required
Naan Qalia	ingredient	Lamb and mutton
Date shake	ingredient	Phoenix dactylifera
Date shake	ingredient	Ice cream
Enne gai	ingredient	Eggplant
Davanagere Benne Dosa	ingredient	Rice
Davanagere Benne Dosa	ingredient	Butter
Zarda (food)	ingredient	Rice
Zarda (food)	ingredient	Raisin
Zarda (food)	ingredient	Cardamom
Zarda (food)	ingredient	Saffron
Zarda (food)	ingredient	Pistachio
Zarda (food)	ingredient	Almond
Ruske Kape	ingredient	Chocolate
Tatws Pum Munud	ingredient	Bacon
Pepes	ingredient	Mushroom
Pepes	ingredient	Tofu
Pepes	ingredient	Banana leaf
Squab pie	ingredient	Lamb and mutton
Squab pie	ingredient	Apple
Kadboli	ingredient	Mung bean
Nasi liwet	ingredient	Coconut milk
Coconut doughnut	ingredient	Coconut
Potato doughnut	ingredient	Potato
Namak pare	ingredient	Maida
Namak pare	ingredient	Semolina
Namak pare	ingredient	Yoghurt
Namak pare	ingredient	Ghee
Mandazi	ingredient	Water
Mandazi	ingredient	Sugar
Mandazi	ingredient	Flour
Mandazi	ingredient	Yeast
Mandazi	ingredient	Milk
Fabes con almejas	ingredient	Clam
Fabes con almejas	ingredient	Bean
Turkish delight	ingredient	Starch
Turkish delight	ingredient	Sugar
Rawon	ingredient	Pangium edule
Bacon Deluxe	ingredient	Bacon
Bacon Deluxe	ingredient	Patty
Bacon Deluxe	ingredient	Cheese
Bacon Deluxe	ingredient	Vegetable
Bacon Deluxe	ingredient	Bun
Zeeuws spek	ingredient	Pork
Baye baye	ingredient	Rice
Baye baye	ingredient	Coconut
Opor Ayam	ingredient	Coconut milk
Calf's liver and bacon	ingredient	Liver (food)
Calf's liver and bacon	ingredient	Bacon
Qutab	ingredient	Beef
Qutab	ingredient	Leek
Unnakai	ingredient	Plantain
Unnakai	ingredient	Coconut
Unnakai	ingredient	Ghee
Unnakai	ingredient	Egg white
Unnakai	ingredient	Elettaria
Unnakai	ingredient	Sugar
Kuzhambu	ingredient	Lentil
Kuzhambu	ingredient	Tamarind
Kuzhambu	ingredient	Vegetable
Kansar	ingredient	Wheat
Kansar	ingredient	Jaggery
Kansar	ingredient	Ghee
Kerak telor	ingredient	Serundeng
Meghli	ingredient	Rice
Meghli	ingredient	Sugar
Meghli	ingredient	Anise
Meghli	ingredient	Caraway
Meghli	ingredient	Cinnamon
Meghli	ingredient	Coconut
Meghli	ingredient	Almond
Meghli	ingredient	Pistachio
Cow Chocolate	ingredient	Chocolate
Malida	ingredient	Wheat flour
Malida	ingredient	Semolina
Malida	ingredient	Ghee
Malida	ingredient	Milk
Malida	ingredient	Khoa
Malida	ingredient	Cashew
Malida	ingredient	Pistachio
Malida	ingredient	Almond
Widow (sauce)	ingredient	Habanero chili
Hamdog	ingredient	Hot dog
