ADAM CLAYTON	INSTRUMENT	GUITAR
ADAM CLAYTON	INSTRUMENT	SYNTHESIZER
ADAM CLAYTON	INSTRUMENT	SINGING
BOOTSY COLLINS	INSTRUMENT	BASS GUITAR
BOOTSY COLLINS	INSTRUMENT	SINGING
BOOTSY COLLINS	INSTRUMENT	GUITAR
BOOTSY COLLINS	INSTRUMENT	DRUM KIT
BOOTSY COLLINS	INSTRUMENT	KEYBOARD INSTRUMENT
RICHIE SAMBORA	INSTRUMENT	*
RICHIE SAMBORA	INSTRUMENT	GUITAR
RICHIE SAMBORA	INSTRUMENT	TALK BOX
RICHIE SAMBORA	INSTRUMENT	SINGING
CARL STALLING	INSTRUMENT	PIANO
CARL STALLING	INSTRUMENT	THEATER ORGAN
PETE SEEGER	INSTRUMENT	BANJO
PETE SEEGER	INSTRUMENT	GUITAR
PETE SEEGER	INSTRUMENT	RECORDER
PETE SEEGER	INSTRUMENT	TIN WHISTLE
PETE SEEGER	INSTRUMENT	MANDOLIN
PETE SEEGER	INSTRUMENT	PIANO
PETE SEEGER	INSTRUMENT	UKULELE
MIKE DIRNT	INSTRUMENT	BASS GUITAR
MIKE DIRNT	INSTRUMENT	SINGING
MIKE DIRNT	INSTRUMENT	ELECTRONIC ORGAN
MIKE DIRNT	INSTRUMENT	DRUM KIT
MIKE DIRNT	INSTRUMENT	GUITAR
ACE FREHLEY	INSTRUMENT	GUITAR
ACE FREHLEY	INSTRUMENT	SINGING
YO-YO MA	INSTRUMENT	CELLO
JIMMY CHAMBERLIN	INSTRUMENT	DRUMS, PERCUSSION
MELISSA AUF DER MAUR	INSTRUMENT	VOCALS, BASS, GUITAR
QUEEN PEN	INSTRUMENT	RAPPING
JOE HAHN	INSTRUMENT	PHONOGRAPH
JOE HAHN	INSTRUMENT	SAMPLER
JOE HAHN	INSTRUMENT	ELECTRONIC KEYBOARD
JOE HAHN	INSTRUMENT	SYNTHESIZER
STEPHEN CARPENTER	INSTRUMENT	GUITAR
STEPHEN CARPENTER	INSTRUMENT	DRUMS
STEPHEN CARPENTER	INSTRUMENT	DRUM MACHINE
FRANK DELGADO	INSTRUMENT	TURNTABLE, KEYBOARDS
LONNIE DONEGAN	INSTRUMENT	GUITAR, VOCALS, BANJO
TRENT REZNOR	INSTRUMENT	*
TRENT REZNOR	INSTRUMENT	SINGING
TRENT REZNOR	INSTRUMENT	ELECTRIC GUITAR
TRENT REZNOR	INSTRUMENT	BASS GUITAR
TRENT REZNOR	INSTRUMENT	KEYBOARD INSTRUMENT
TRENT REZNOR	INSTRUMENT	PIANO
TRENT REZNOR	INSTRUMENT	PERCUSSION
TRENT REZNOR	INSTRUMENT	DRUM MACHINE
TRENT REZNOR	INSTRUMENT	SAXOPHONE
STUART HAMM	INSTRUMENT	BASS GUITAR
